# X(m) Y(m) Z(m)
0.135 0.223 0.184
0.135 0.223 0.183
0.135 0.222 0.183
0.135 0.222 0.183
0.135 0.222 0.183
0.135 0.222 0.183
0.135 0.222 0.183
0.134 0.222 0.183
0.134 0.221 0.182
0.134 0.221 0.182
0.134 0.221 0.182
0.134 0.221 0.182
0.134 0.221 0.182
0.134 0.221 0.182
0.134 0.221 0.182
0.134 0.220 0.181
0.133 0.220 0.181
0.133 0.220 0.181
0.133 0.220 0.181
0.133 0.220 0.181
0.133 0.220 0.181
0.133 0.219 0.181
0.133 0.219 0.180
0.133 0.219 0.180
0.133 0.219 0.180
0.133 0.219 0.180
0.133 0.219 0.180
0.133 0.219 0.180
0.132 0.218 0.180
0.132 0.218 0.180
0.132 0.218 0.180
0.132 0.218 0.180
0.132 0.218 0.179
0.132 0.217 0.179
0.132 0.217 0.179
0.132 0.217 0.179
0.132 0.217 0.179
0.131 0.217 0.178
0.131 0.217 0.178
0.131 0.217 0.178
0.131 0.216 0.178
0.131 0.216 0.178
0.131 0.216 0.178
0.131 0.216 0.178
0.131 0.216 0.178
0.131 0.216 0.178
0.131 0.215 0.177
0.131 0.215 0.177
0.130 0.215 0.177
0.130 0.215 0.177
0.130 0.215 0.177
0.130 0.215 0.177
0.130 0.215 0.177
0.130 0.214 0.177
0.130 0.214 0.177
0.130 0.214 0.176
0.130 0.214 0.176
0.130 0.214 0.176
0.130 0.214 0.176
0.130 0.214 0.176
0.130 0.214 0.176
0.129 0.214 0.176
0.129 0.213 0.176
0.129 0.213 0.175
0.129 0.213 0.175
0.129 0.213 0.175
0.129 0.213 0.175
0.129 0.213 0.175
0.129 0.212 0.175
0.129 0.212 0.175
0.129 0.212 0.175
0.128 0.212 0.175
0.128 0.212 0.174
0.128 0.212 0.174
0.128 0.211 0.174
0.128 0.211 0.174
0.128 0.211 0.174
0.128 0.211 0.174
0.128 0.211 0.174
0.128 0.211 0.174
0.128 0.211 0.174
0.128 0.211 0.173
0.127 0.210 0.173
0.127 0.210 0.173
0.127 0.210 0.173
0.127 0.210 0.173
0.127 0.210 0.173
0.127 0.209 0.172
0.127 0.209 0.172
0.127 0.209 0.172
0.127 0.209 0.172
0.127 0.209 0.172
0.127 0.209 0.172
0.126 0.209 0.172
0.126 0.208 0.172
0.126 0.208 0.172
0.126 0.208 0.172
0.126 0.208 0.171
0.126 0.208 0.171
0.126 0.208 0.171
0.126 0.207 0.171
0.126 0.207 0.171
0.126 0.207 0.171
0.126 0.207 0.171
0.125 0.207 0.170
0.125 0.207 0.170
0.125 0.207 0.170
0.125 0.207 0.170
0.125 0.206 0.170
0.125 0.206 0.170
0.125 0.206 0.170
0.125 0.206 0.170
0.125 0.206 0.170
0.125 0.206 0.170
0.125 0.206 0.169
0.125 0.206 0.169
0.125 0.205 0.169
0.125 0.205 0.169
0.125 0.205 0.169
0.125 0.205 0.169
0.124 0.205 0.169
0.124 0.205 0.169
0.124 0.205 0.169
0.124 0.205 0.169
0.124 0.205 0.169
0.124 0.205 0.169
0.124 0.205 0.169
0.124 0.205 0.168
0.124 0.204 0.168
0.124 0.204 0.168
0.124 0.204 0.168
0.124 0.204 0.168
0.124 0.204 0.168
0.124 0.204 0.168
0.124 0.204 0.168
0.124 0.204 0.168
0.123 0.204 0.168
0.123 0.203 0.167
0.123 0.203 0.167
0.123 0.203 0.167
0.123 0.203 0.167
0.123 0.203 0.167
0.123 0.203 0.167
0.123 0.203 0.167
0.123 0.203 0.167
0.123 0.203 0.167
0.123 0.202 0.167
0.123 0.202 0.167
0.123 0.202 0.167
0.123 0.202 0.167
0.123 0.202 0.166
0.122 0.202 0.166
0.122 0.202 0.166
0.122 0.202 0.166
0.122 0.202 0.166
0.122 0.202 0.166
0.122 0.201 0.166
0.122 0.201 0.166
0.122 0.201 0.166
0.122 0.201 0.166
0.122 0.201 0.166
0.122 0.201 0.166
0.122 0.201 0.166
0.122 0.201 0.165
0.122 0.201 0.165
0.122 0.201 0.165
0.122 0.200 0.165
0.121 0.200 0.165
0.121 0.200 0.165
0.121 0.200 0.165
0.121 0.200 0.165
0.121 0.200 0.164
0.121 0.200 0.164
0.121 0.200 0.164
0.121 0.200 0.164
0.121 0.200 0.164
0.121 0.199 0.164
0.121 0.199 0.164
0.121 0.199 0.164
0.121 0.199 0.164
0.121 0.199 0.164
0.121 0.199 0.164
0.120 0.199 0.164
0.120 0.199 0.164
0.120 0.198 0.163
0.120 0.198 0.163
0.120 0.198 0.163
0.120 0.198 0.163
0.120 0.198 0.163
0.120 0.198 0.163
0.120 0.198 0.163
0.120 0.198 0.163
0.120 0.197 0.163
0.120 0.197 0.163
0.120 0.197 0.163
0.120 0.197 0.163
0.120 0.197 0.163
0.120 0.197 0.163
0.120 0.197 0.162
0.119 0.197 0.162
0.120 0.197 0.162
0.119 0.197 0.162
0.119 0.197 0.162
0.148 0.271 0.223
0.148 0.271 0.223
0.148 0.271 0.223
0.147 0.270 0.222
0.147 0.270 0.222
0.147 0.269 0.222
0.147 0.269 0.222
0.147 0.269 0.222
0.147 0.269 0.222
0.147 0.269 0.222
0.147 0.269 0.221
0.146 0.268 0.221
0.146 0.268 0.221
0.146 0.268 0.220
0.146 0.267 0.220
0.146 0.267 0.220
0.145 0.267 0.220
0.145 0.266 0.219
0.145 0.266 0.219
0.145 0.266 0.219
0.145 0.265 0.219
0.145 0.265 0.219
0.145 0.265 0.218
0.144 0.265 0.218
0.144 0.264 0.218
0.144 0.264 0.218
0.144 0.264 0.218
0.144 0.264 0.217
0.144 0.264 0.217
0.144 0.263 0.217
0.143 0.263 0.217
0.143 0.263 0.216
0.143 0.262 0.216
0.143 0.262 0.216
0.143 0.262 0.216
0.143 0.261 0.215
0.142 0.261 0.215
0.142 0.261 0.215
0.142 0.261 0.215
0.142 0.260 0.215
0.142 0.260 0.214
0.142 0.260 0.214
0.142 0.260 0.214
0.142 0.260 0.214
0.142 0.259 0.214
0.141 0.259 0.214
0.141 0.259 0.213
0.141 0.259 0.213
0.141 0.259 0.213
0.141 0.258 0.212
0.141 0.258 0.212
0.140 0.258 0.212
0.140 0.257 0.212
0.140 0.257 0.212
0.140 0.257 0.211
0.140 0.256 0.211
0.140 0.256 0.211
0.140 0.256 0.211
0.139 0.256 0.211
0.139 0.256 0.210
0.139 0.255 0.210
0.139 0.255 0.210
0.139 0.255 0.210
0.139 0.254 0.209
0.139 0.254 0.209
0.139 0.254 0.209
0.138 0.254 0.209
0.138 0.253 0.209
0.138 0.253 0.208
0.138 0.253 0.208
0.138 0.253 0.208
0.138 0.253 0.208
0.137 0.252 0.208
0.137 0.252 0.207
0.137 0.252 0.207
0.137 0.251 0.207
0.137 0.251 0.207
0.137 0.251 0.207
0.137 0.251 0.206
0.137 0.250 0.206
0.137 0.250 0.206
0.136 0.250 0.206
0.136 0.250 0.206
0.136 0.250 0.206
0.136 0.249 0.205
0.136 0.249 0.205
0.136 0.249 0.205
0.136 0.249 0.205
0.135 0.248 0.205
0.135 0.248 0.205
0.135 0.248 0.204
0.135 0.248 0.204
0.135 0.248 0.204
0.135 0.248 0.204
0.135 0.247 0.204
0.135 0.247 0.203
0.135 0.247 0.203
0.134 0.247 0.203
0.134 0.247 0.203
0.134 0.246 0.203
0.134 0.246 0.203
0.134 0.246 0.203
0.134 0.246 0.202
0.134 0.245 0.202
